ds,subject,ses,task,n_num
ds000001,sub-01,,balloonanalogrisktask,3
ds000001,sub-02,,balloonanalogrisktask,3
ds000001,sub-03,,balloonanalogrisktask,3
ds000001,sub-04,,balloonanalogrisktask,3
ds000001,sub-05,,balloonanalogrisktask,3
ds000001,sub-06,,balloonanalogrisktask,3
ds000001,sub-07,,balloonanalogrisktask,3
ds000001,sub-08,,balloonanalogrisktask,3
ds000001,sub-09,,balloonanalogrisktask,3
ds000001,sub-10,,balloonanalogrisktask,3
ds000001,sub-11,,balloonanalogrisktask,3
ds000001,sub-12,,balloonanalogrisktask,3
ds000001,sub-13,,balloonanalogrisktask,3
ds000001,sub-14,,balloonanalogrisktask,3
ds000001,sub-15,,balloonanalogrisktask,3
ds000001,sub-16,,balloonanalogrisktask,3
ds000002,sub-01,,mixedeventrelatedprobe,2
ds000002,sub-01,,probabilisticclassification,2
ds000002,sub-01,,deterministicclassification,2
ds000002,sub-02,,mixedeventrelatedprobe,2
ds000002,sub-02,,probabilisticclassification,2
ds000002,sub-02,,deterministicclassification,2
ds000002,sub-03,,probabilisticclassification,2
ds000002,sub-03,,deterministicclassification,2
ds000002,sub-03,,mixedeventrelatedprobe,2
ds000002,sub-04,,deterministicclassification,2
ds000002,sub-04,,mixedeventrelatedprobe,2
ds000002,sub-04,,probabilisticclassification,2
ds000002,sub-05,,deterministicclassification,2
ds000002,sub-05,,mixedeventrelatedprobe,2
ds000002,sub-05,,probabilisticclassification,2
ds000002,sub-06,,probabilisticclassification,2
ds000002,sub-06,,mixedeventrelatedprobe,2
ds000002,sub-06,,deterministicclassification,2
ds000002,sub-07,,mixedeventrelatedprobe,2
ds000002,sub-07,,probabilisticclassification,2
ds000002,sub-07,,deterministicclassification,2
ds000002,sub-08,,probabilisticclassification,2
ds000002,sub-08,,deterministicclassification,2
ds000002,sub-08,,mixedeventrelatedprobe,2
ds000002,sub-09,,mixedeventrelatedprobe,2
ds000002,sub-09,,deterministicclassification,2
ds000002,sub-09,,probabilisticclassification,2
ds000002,sub-10,,probabilisticclassification,2
ds000002,sub-10,,deterministicclassification,2
ds000002,sub-10,,mixedeventrelatedprobe,2
ds000002,sub-11,,probabilisticclassification,2
ds000002,sub-11,,mixedeventrelatedprobe,2
ds000002,sub-11,,deterministicclassification,2
ds000002,sub-12,,deterministicclassification,2
ds000002,sub-12,,probabilisticclassification,2
ds000002,sub-12,,mixedeventrelatedprobe,2
ds000002,sub-13,,mixedeventrelatedprobe,2
ds000002,sub-13,,probabilisticclassification,2
ds000002,sub-13,,deterministicclassification,2
ds000002,sub-14,,probabilisticclassification,2
ds000002,sub-14,,mixedeventrelatedprobe,2
ds000002,sub-14,,deterministicclassification,2
ds000002,sub-15,,deterministicclassification,2
ds000002,sub-15,,probabilisticclassification,2
ds000002,sub-15,,mixedeventrelatedprobe,2
ds000002,sub-16,,deterministicclassification,2
ds000002,sub-16,,mixedeventrelatedprobe,2
ds000002,sub-16,,probabilisticclassification,2
ds000002,sub-17,,mixedeventrelatedprobe,2
ds000002,sub-17,,probabilisticclassification,2
ds000002,sub-17,,deterministicclassification,2
ds000003,sub-01,,rhymejudgment,1
ds000003,sub-02,,rhymejudgment,1
ds000003,sub-03,,rhymejudgment,1
ds000003,sub-04,,rhymejudgment,1
ds000003,sub-05,,rhymejudgment,1
ds000003,sub-06,,rhymejudgment,1
ds000003,sub-07,,rhymejudgment,1
ds000003,sub-08,,rhymejudgment,1
ds000003,sub-09,,rhymejudgment,1
ds000003,sub-10,,rhymejudgment,1
ds000003,sub-11,,rhymejudgment,1
ds000003,sub-12,,rhymejudgment,1
ds000003,sub-13,,rhymejudgment,1
ds000005,sub-01,,mixedgamblestask,3
ds000005,sub-02,,mixedgamblestask,3
ds000005,sub-03,,mixedgamblestask,3
ds000005,sub-04,,mixedgamblestask,3
ds000005,sub-05,,mixedgamblestask,3
ds000005,sub-06,,mixedgamblestask,3
ds000005,sub-07,,mixedgamblestask,3
ds000005,sub-08,,mixedgamblestask,3
ds000005,sub-09,,mixedgamblestask,3
ds000005,sub-10,,mixedgamblestask,3
ds000005,sub-11,,mixedgamblestask,3
ds000005,sub-12,,mixedgamblestask,3
ds000005,sub-13,,mixedgamblestask,3
ds000005,sub-14,,mixedgamblestask,3
ds000005,sub-15,,mixedgamblestask,3
ds000005,sub-16,,mixedgamblestask,3
ds000006,sub-01,test,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-01,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-02,test,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-02,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-03,test,livingnonlivingdecisionwithplainormirrorreversedtext,5
ds000006,sub-03,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-04,test,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-04,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-05,test,livingnonlivingdecisionwithplainormirrorreversedtext,5
ds000006,sub-05,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-06,test,livingnonlivingdecisionwithplainormirrorreversedtext,5
ds000006,sub-06,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-07,test,livingnonlivingdecisionwithplainormirrorreversedtext,5
ds000006,sub-07,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-08,test,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-08,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-09,test,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-09,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-10,test,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-10,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-11,test,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-11,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-12,test,livingnonlivingdecisionwithplainormirrorreversedtext,6
